Mittlere_Jahresbevoelkerung_nach_Geschlecht_kreisfreie;Staedte_und_Kreise;Fortschreibung_des_Bevoelkerungsstandes;placeholder;_
Mittlere_Jahresbevoelkerung;Mittlere_Jahresbevoelkerung;Mittlere_Jahresbevoelkerung;_;_
_;_;Insgesamt;maennlich;weiblich
-;-;Anzahl;Anzahl;Anzahl
_05;Nordrhein-Westfalen;17936396;8800431;9135965
051;  D�sseldorf, Regierungsbezirk;5203774;2539754;2664020
05111;    D�sseldorf, krfr. Stadt;621200;300241;320959
05112;    Duisburg, krfr. Stadt;497286;246052;251234
05113;    Essen, krfr. Stadt;582588;283019;299569
05114;    Krefeld, krfr. Stadt;227131;110860;116271
05116;    M�nchengladbach, krfr. Stadt;260350;128189;132161
05117;    M�lheim an der Ruhr, krfr. Stadt;170777;82326;88451
05119;    Oberhausen, krfr. Stadt;210165;103194;106971
05120;    Remscheid, krfr. Stadt;111427;55025;56403
05122;    Solingen, krfr. Stadt;159219;77295;81924
05124;    Wuppertal, krfr. Stadt;355052;174162;180890
05154;    Kleve, Kreis;313026;155832;157194
05158;    Mettmann, Kreis;484946;234289;250658
05162;    Rhein-Kreis Neuss;451866;219600;232266
05166;    Viersen, Kreis;298700;145739;152961
05170;    Wesel, Kreis;460045;223933;236112
053;  K�ln, Regierungsbezirk;4477189;2196848;2280341
05314;    Bonn, krfr. Stadt;330126;157862;172265
05315;    K�ln, krfr. Stadt;1085681;529274;556407
05316;    Leverkusen, krfr. Stadt;163817;79808;84010
05334;    St�dteregion Aachen (einschl. Stadt Aachen);556829;281285;275544
05358;    D�ren, Kreis;264889;131412;133477
05362;    Rhein-Erft-Kreis;470113;229499;240615
05366;    Euskirchen, Kreis;194008;95738;98270
05370;    Heinsberg, Kreis;256007;126715;129292
05374;    Oberbergischer Kreis;271878;133722;138157
05378;    Rheinisch-Bergischer Kreis;283273;137307;145967
05382;    Rhein-Sieg-Kreis;600570;294229;306341
055;  M�nster, Regierungsbezirk;2624672;1291331;1333342
05512;    Bottrop, krfr. Stadt;117477;57155;60322
05513;    Gelsenkirchen, krfr. Stadt;259375;128916;130459
05515;    M�nster, krfr. Stadt;315848;151628;164221
05554;    Borken, Kreis;371619;185683;185936
05558;    Coesfeld, Kreis;220649;108850;111800
05562;    Recklinghausen, Kreis;613868;299153;314715
05566;    Steinfurt, Kreis;448209;222881;225328
05570;    Warendorf, Kreis;277629;137066;140563
057;  Detmold, Regierungsbezirk;2054951;1013736;1041216
05711;    Bielefeld, krfr. Stadt;333852;160948;172905
05754;    G�tersloh, Kreis;364878;182081;182797
05758;    Herford, Kreis;250563;123107;127456
05762;    H�xter, Kreis;139990;69710;70280
05766;    Lippe, Kreis;347242;170376;176866
05770;    Minden-L�bbecke, Kreis;310340;153254;157086
05774;    Paderborn, Kreis;308087;154260;153827
059;  Arnsberg, Regierungsbezirk;3575811;1758764;1817047
05911;    Bochum, krfr. Stadt;365021;177980;187041
05913;    Dortmund, krfr. Stadt;587973;289218;298756
05914;    Hagen, krfr. Stadt;188687;92225;96462
05915;    Hamm, krfr. Stadt;179442;88320;91122
05916;    Herne, krfr. Stadt;156695;76927;79768
05954;    Ennepe-Ruhr-Kreis;323618;157122;166497
05958;    Hochsauerlandkreis;259404;129549;129855
05962;    M�rkischer Kreis;409442;201578;207864
05966;    Olpe, Kreis;133659;66978;66681
05970;    Siegen-Wittgenstein, Kreis;276218;137169;139049
05974;    Soest, Kreis;301401;149651;151750
05978;    Unna, Kreis;394255;192050;202205
