FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187b3d87864_39d3,5334002,1001,Abteiplatz
strassennamen.fid--3213a59_187b3d87864_39d4,5334002,1002,Abteistraße
strassennamen.fid--3213a59_187b3d87864_39d5,5334002,1004,Achterstraße
strassennamen.fid--3213a59_187b3d87864_39d6,5334002,1005,Adalbert-Stifter-Straße
strassennamen.fid--3213a59_187b3d87864_39d7,5334002,1006,Adalbertsberg
strassennamen.fid--3213a59_187b3d87864_39d8,5334002,1008,Adalbertstift
strassennamen.fid--3213a59_187b3d87864_39d9,5334002,1009,Adalbertstraße
strassennamen.fid--3213a59_187b3d87864_39da,5334002,1011,Adlerberg
strassennamen.fid--3213a59_187b3d87864_39db,5334002,1012,Nelly-Sachs-Straße
strassennamen.fid--3213a59_187b3d87864_39dc,5334002,1013,Ahornstraße
strassennamen.fid--3213a59_187b3d87864_39dd,5334002,1014,Albert-Maas-Straße
strassennamen.fid--3213a59_187b3d87864_39de,5334002,1015,Alexanderstraße
strassennamen.fid--3213a59_187b3d87864_39df,5334002,1016,Alexianergraben
strassennamen.fid--3213a59_187b3d87864_39e0,5334002,1017,Alfonsstraße
strassennamen.fid--3213a59_187b3d87864_39e1,5334002,1018,Alkuinstraße
strassennamen.fid--3213a59_187b3d87864_39e2,5334002,1019,Alsenstraße
strassennamen.fid--3213a59_187b3d87864_39e3,5334002,1020,Altdorfstraße
strassennamen.fid--3213a59_187b3d87864_39e4,5334002,1023,Altstraße
strassennamen.fid--3213a59_187b3d87864_39e5,5334002,1024,Altenberger Straße
strassennamen.fid--3213a59_187b3d87864_39e6,5334002,1025,Am Backes
strassennamen.fid--3213a59_187b3d87864_39e7,5334002,1026,Am Beverbach
strassennamen.fid--3213a59_187b3d87864_39e8,5334002,1028,Am Blockhaus
strassennamen.fid--3213a59_187b3d87864_39e9,5334002,1029,Am Branderhof
strassennamen.fid--3213a59_187b3d87864_39ea,5334002,1030,Ambrosiusstraße
strassennamen.fid--3213a59_187b3d87864_39eb,5334002,1031,Am Chorusberg
strassennamen.fid--3213a59_187b3d87864_39ec,5334002,1032,Am Dorbach
strassennamen.fid--3213a59_187b3d87864_39ed,5334002,1033,Am Friedrich
strassennamen.fid--3213a59_187b3d87864_39ee,5334002,1034,Am Hangeweiher
strassennamen.fid--3213a59_187b3d87864_39ef,5334002,1035,Am Hasselholz
strassennamen.fid--3213a59_187b3d87864_39f0,5334002,1036,Am Höfling
